Model,Round,Feature,MeanDeltaLogLoss,StdDeltaLogLoss,BaseLogLoss,n
lgbm,E8,d_SOS-AdjEM,0.1702478166453302,0.02371499369660176,0.03562745460880813,128
lgbm,E8,d_NCSOS-AdjEM,0.034168548583481506,0.00419682169264811,0.03562745460880813,128
lgbm,E8,d_Momentum,0.1437771700889186,0.024867138588018072,0.03562745460880813,128
lgbm,E8,d_OffEFG,0.041319141111082626,0.005833013079751004,0.03562745460880813,128
lgbm,E8,d_DefEFG,0.027735355204888325,0.003988767555027943,0.03562745460880813,128
lgbm,E8,d_Seed,0.3845870089769392,0.04924671236320853,0.03562745460880813,128
lgbm,F4,d_AdjEM,0.709128071623949,0.11827960721462406,0.0323483755258596,64
lgbm,F4,d_AdjO,0.058602302504819355,0.016285952893223293,0.0323483755258596,64
lgbm,F4,d_AdjD,0.06406788286649863,0.017412956049436067,0.0323483755258596,64
lgbm,F4,d_AdjT,0.014567097298223086,0.0027330232064580427,0.0323483755258596,64
lgbm,F4,d_Luck,0.2066231742380816,0.0567554219214596,0.0323483755258596,64
lgbm,F4,d_SOS-AdjEM,0.258889541328027,0.049753114041137025,0.0323483755258596,64
lgbm,F4,d_NCSOS-AdjEM,0.04522378632811155,0.008355629137833007,0.0323483755258596,64
lgbm,F4,d_Momentum,0.041583603576559644,0.01180663587067528,0.0323483755258596,64
lgbm,F4,d_OffEFG,0.024421861485646804,0.00603075798620993,0.0323483755258596,64
lgbm,F4,d_DefEFG,0.017091178509460438,0.006148886541504594,0.0323483755258596,64
lgbm,F4,d_Seed,0.25609424537630937,0.07250959956383864,0.0323483755258596,64
lgbm,NCG,d_AdjEM,0.5492647558812261,0.13005024221572503,0.032752565819981545,32
lgbm,NCG,d_AdjO,0.053982510110095666,0.01930598558054986,0.032752565819981545,32
lgbm,NCG,d_AdjD,0.04534163236899733,0.01555564581413503,0.032752565819981545,32
lgbm,NCG,d_AdjT,0.014397110938776374,0.0036250859538825017,0.032752565819981545,32
lgbm,NCG,d_Luck,0.28262700898457943,0.10873303221235985,0.032752565819981545,32
lgbm,NCG,d_SOS-AdjEM,0.17495819304601154,0.06365584021051934,0.032752565819981545,32
lgbm,NCG,d_NCSOS-AdjEM,0.043001316394347934,0.016061464034306184,0.032752565819981545,32
lgbm,NCG,d_Momentum,0.041812780296353776,0.020098964805837415,0.032752565819981545,32
lgbm,NCG,d_OffEFG,0.029653498369048445,0.00723438173359753,0.032752565819981545,32
lgbm,NCG,d_DefEFG,0.02428093915383122,0.007322272994509757,0.032752565819981545,32
lgbm,NCG,d_Seed,0.0473325025346225,0.022439707638962716,0.032752565819981545,32
catboost,R64,d_AdjEM,0.7258501182195631,0.026529889226682684,0.14780534584929345,1022
catboost,R64,d_AdjO,0.0845782856532741,0.005912168482057379,0.14780534584929345,1022
catboost,R64,d_AdjD,0.08179890247185477,0.004259934289742287,0.14780534584929345,1022
catboost,R64,d_AdjT,0.044948537504856764,0.0025354047924324146,0.14780534584929345,1022
catboost,R64,d_Luck,0.17751141779879206,0.011643477616824063,0.14780534584929345,1022
catboost,R64,d_SOS-AdjEM,0.21823434587431859,0.01043125694747031,0.14780534584929345,1022
catboost,R64,d_NCSOS-AdjEM,0.04869781472175742,0.0023705446058916915,0.14780534584929345,1022
catboost,R64,d_Momentum,0.09917149538634572,0.00731549937224639,0.14780534584929345,1022
catboost,R64,d_OffEFG,0.038101149649624515,0.001682866313214279,0.14780534584929345,1022
catboost,R64,d_DefEFG,0.03822547436520345,0.001874542939678468,0.14780534584929345,1022
catboost,R64,d_Seed,0.3539062568158855,0.0195647415580305,0.14780534584929345,1022
catboost,R32,d_AdjEM,0.6589851290036378,0.0282088970262293,0.15751596624383124,512
catboost,R32,d_AdjO,0.079413980109777,0.007375645276311078,0.15751596624383124,512
catboost,R32,d_AdjD,0.0702136271552501,0.005860000584053858,0.15751596624383124,512
catboost,R32,d_AdjT,0.03754988045168662,0.0032207714599932135,0.15751596624383124,512
catboost,R32,d_Luck,0.1463318364072492,0.012272724837558448,0.15751596624383124,512
catboost,R32,d_SOS-AdjEM,0.19562854128044876,0.014324261125259606,0.15751596624383124,512
catboost,R32,d_NCSOS-AdjEM,0.04536999669760259,0.0030140943058383253,0.15751596624383124,512
catboost,R32,d_Momentum,0.10168880367450654,0.008902876808555433,0.15751596624383124,512
catboost,R32,d_OffEFG,0.04669673122933731,0.0030440098154042084,0.15751596624383124,512
catboost,R32,d_DefEFG,0.041370584533043105,0.0023345134113687154,0.15751596624383124,512
catboost,R32,d_Seed,0.3194250940378287,0.021961729352947407,0.15751596624383124,512
catboost,S16,d_AdjEM,0.47954051961228455,0.042114878955997186,0.1637306295780005,256
catboost,S16,d_AdjO,0.08216613676154516,0.008291080732184292,0.1637306295780005,256
catboost,S16,d_AdjD,0.06383243185708024,0.0063052841999071685,0.1637306295780005,256
catboost,S16,d_AdjT,0.0407028447876337,0.0039026225546740386,0.1637306295780005,256
catboost,S16,d_Luck,0.19896635780260083,0.023701079112989094,0.1637306295780005,256
catboost,S16,d_SOS-AdjEM,0.1412261925583983,0.013301811998294739,0.1637306295780005,256
catboost,S16,d_NCSOS-AdjEM,0.050554298851421535,0.005102100546651764,0.1637306295780005,256
